output_text=D:/code/cpp/vs/myKCF/joaofaro/joao/run/output_data/20260608_1516.txt
effective_feature_channels=18
Running KCF evaluation
config=D:\code\cpp\vs\myKCF\joaofaro\joao\configs\dut_hog18.yaml
experiment.name=dut_hog18
experiment.description=DUT AUAV video14 image sequence with 18-channel FHOG
input.type=image_sequence
video=
image_dir=C:/Users/yala5/Desktop/auav_data/dut_auav_data/V0/video14
image_extension=.jpg
image_start_index=1
image_index_digits=5
annotation=C:/Users/yala5/Desktop/auav_data/dut_auav_data/V0GT/video14_gt.txt
save_video=false
output_video=D:/code/cpp/vs/myKCF/joaofaro/joao/run/dut_output.mp4
fixed_window=false
multiscale=true
hog.enabled=true
hog.channels=18
cn.enabled=false
cn.channels=0
lab.enabled=false
fusion.mode=concat
confidence.enabled=false
confidence.psr_exclusion_radius=5
confidence.eps=0.000
confidence.warmup_frames=5
confidence.ema_alpha=0.050
confidence.medium_ema_alpha=0.000
confidence.high_ratio=0.950
confidence.low_ratio=0.600
confidence.medium_lr_factor=0.300
confidence.low_displacement_threshold=0.500
confidence.low_displacement_damping=0.500
frame=19, load_ms=21.331, kcf_ms=9.548, target=valid, CLE=1.581, IoU=0.821, peak=0.432, PSR=21.997, APCE=25.523, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.020, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=20, load_ms=20.945, kcf_ms=9.278, target=valid, CLE=2.550, IoU=0.907, peak=0.403, PSR=19.206, APCE=19.860, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.033, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=21, load_ms=21.727, kcf_ms=9.222, target=valid, CLE=3.202, IoU=0.828, peak=0.402, PSR=19.379, APCE=21.467, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.022, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=22, load_ms=21.602, kcf_ms=9.533, target=valid, CLE=0.707, IoU=0.883, peak=0.390, PSR=16.754, APCE=18.905, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.055, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=23, load_ms=21.110, kcf_ms=9.293, target=valid, CLE=0.707, IoU=0.821, peak=0.405, PSR=17.276, APCE=23.661, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.017, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=24, load_ms=21.263, kcf_ms=9.517, target=valid, CLE=1.118, IoU=0.768, peak=0.358, PSR=15.099, APCE=18.612, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.035, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=25, load_ms=21.487, kcf_ms=9.559, target=valid, CLE=1.414, IoU=0.748, peak=0.370, PSR=14.007, APCE=20.830, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.053, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=26, load_ms=21.064, kcf_ms=9.552, target=valid, CLE=3.041, IoU=0.749, peak=0.465, PSR=21.698, APCE=27.339, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.028, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=27, load_ms=20.897, kcf_ms=9.304, target=valid, CLE=2.693, IoU=0.768, peak=0.450, PSR=16.714, APCE=29.090, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.056, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=28, load_ms=20.932, kcf_ms=9.344, target=valid, CLE=1.414, IoU=0.836, peak=0.509, PSR=22.452, APCE=29.430, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.029, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
