frame=13, load_ms=1.158, kcf_ms=12.302, target=valid, CLE=0.500, IoU=0.993, peak=0.766, PSR=90.321, APCE=85.362, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.002, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=14, load_ms=1.096, kcf_ms=12.220, target=valid, CLE=2.062, IoU=0.958, peak=0.737, PSR=83.116, APCE=70.631, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.003, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=15, load_ms=1.042, kcf_ms=12.519, target=valid, CLE=1.118, IoU=0.968, peak=0.795, PSR=101.764, APCE=91.799, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.001, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=16, load_ms=0.865, kcf_ms=12.191, target=valid, CLE=1.803, IoU=0.970, peak=0.795, PSR=95.611, APCE=92.346, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.002, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=17, load_ms=0.876, kcf_ms=12.200, target=valid, CLE=3.354, IoU=0.942, peak=0.754, PSR=87.388, APCE=79.756, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.006, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=18, load_ms=0.827, kcf_ms=12.556, target=valid, CLE=0.500, IoU=0.966, peak=0.779, PSR=88.676, APCE=86.518, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.002, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=19, load_ms=0.910, kcf_ms=15.058, target=valid, CLE=1.500, IoU=0.956, peak=0.773, PSR=85.256, APCE=72.538, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.001, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=20, load_ms=0.905, kcf_ms=12.417, target=valid, CLE=1.000, IoU=0.975, peak=0.777, PSR=98.543, APCE=87.616, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.004, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=21, load_ms=1.041, kcf_ms=12.387, target=valid, CLE=1.803, IoU=0.956, peak=0.751, PSR=81.459, APCE=88.706, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.001, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=22, load_ms=1.100, kcf_ms=12.517, target=valid, CLE=1.000, IoU=0.975, peak=0.799, PSR=122.076, APCE=98.391, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.002, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=23, load_ms=0.822, kcf_ms=15.603, target=valid, CLE=0.500, IoU=0.966, peak=0.770, PSR=85.869, APCE=92.791, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.003, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=24, load_ms=1.128, kcf_ms=13.034, target=valid, CLE=1.803, IoU=0.970, peak=0.802, PSR=107.394, APCE=90.751, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.002, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=25, load_ms=0.896, kcf_ms=14.132, target=valid, CLE=1.803, IoU=0.954, peak=0.796, PSR=83.059, APCE=89.148, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.001, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=26, load_ms=1.099, kcf_ms=13.260, target=valid, CLE=1.581, IoU=0.963, peak=0.794, PSR=96.386, APCE=98.047, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.002, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=27, load_ms=1.095, kcf_ms=12.935, target=valid, CLE=0.707, IoU=0.973, peak=0.784, PSR=87.430, APCE=88.328, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.002, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=28, load_ms=1.079, kcf_ms=13.187, target=valid, CLE=0.707, IoU=0.973, peak=0.765, PSR=85.033, APCE=84.647, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.002, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=29, load_ms=0.915, kcf_ms=12.314, target=valid, CLE=1.581, IoU=0.973, peak=0.743, PSR=72.027, APCE=88.377, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.003, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=30, load_ms=0.856, kcf_ms=12.594, target=valid, CLE=0.707, IoU=0.973, peak=0.775, PSR=84.356, APCE=96.138, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.003, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=31, load_ms=0.832, kcf_ms=12.665, target=valid, CLE=1.500, IoU=0.956, peak=0.758, PSR=92.391, APCE=77.886, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.004, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=32, load_ms=1.347, kcf_ms=12.936, target=valid, CLE=1.500, IoU=0.956, peak=0.787, PSR=99.535, APCE=94.239, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.001, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=33, load_ms=0.819, kcf_ms=12.599, target=valid, CLE=1.118, IoU=0.966, peak=0.758, PSR=78.667, APCE=81.543, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.002, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=34, load_ms=0.842, kcf_ms=12.314, target=valid, CLE=2.062, IoU=0.966, peak=0.791, PSR=101.395, APCE=96.056, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.001, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=35, load_ms=0.804, kcf_ms=12.412, target=valid, CLE=1.500, IoU=0.956, peak=0.784, PSR=104.302, APCE=94.648, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.001, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=36, load_ms=1.060, kcf_ms=12.160, target=valid, CLE=1.581, IoU=0.973, peak=0.765, PSR=92.066, APCE=88.031, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.001, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=37, load_ms=1.493, kcf_ms=12.632, target=valid, CLE=1.581, IoU=0.973, peak=0.781, PSR=97.561, APCE=99.714, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.001, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=38, load_ms=1.115, kcf_ms=12.898, target=valid, CLE=2.121, IoU=0.963, peak=0.791, PSR=104.442, APCE=89.196, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.004, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=39, load_ms=0.802, kcf_ms=11.916, target=valid, CLE=2.121, IoU=0.963, peak=0.794, PSR=103.454, APCE=89.009, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.001, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=40, load_ms=0.809, kcf_ms=12.448, target=valid, CLE=0.707, IoU=0.973, peak=0.811, PSR=110.711, APCE=97.401, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.001, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=41, load_ms=0.827, kcf_ms=12.106, target=valid, CLE=0.707, IoU=0.973, peak=0.806, PSR=114.726, APCE=96.863, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.001, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=42, load_ms=0.909, kcf_ms=15.297, target=valid, CLE=0.707, IoU=0.973, peak=0.825, PSR=106.780, APCE=95.976, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.001, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=43, load_ms=0.918, kcf_ms=12.673, target=valid, CLE=0.707, IoU=0.973, peak=0.792, PSR=97.125, APCE=98.140, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.001, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
