0,228,99,188,138
1,228,99,188,138
2,228,99,188,138
3,228,99,188,138
4,228,99,188,138
5,228,99,188,138
6,227,99,189,138
7,228,101,187,135
8,228,101,187,135
9,227,99,188,137
10,226,102,188,134
11,227,101,188,134
12,225,102,188,134
13,226,99,188,137
14,225,101,188,135
15,225,100,188,135
16,225,99,187,136
17,224,102,187,136
18,225,101,187,134
19,224,101,187,134
20,224,99,188,136
21,224,101,187,134
22,224,99,188,136
23,225,100,187,134
24,224,99,187,136
25,224,101,188,133
26,225,99,187,135
27,226,98,187,135
28,226,98,187,135
29,226,98,187,135
30,226,98,187,135
31,226,100,187,134
32,226,100,187,134
33,228,100,187,134
34,227,101,187,134
35,227,99,187,134
36,228,100,187,135
37,228,100,187,135
38,228,100,187,135
39,228,100,187,135
40,230,100,187,135
41,230,100,187,135
42,229,99,187,135
43,230,99,187,135
44,230,101,187,135
45,230,101,187,135
46,229,100,187,136
47,230,100,186,136
48,230,100,186,136
49,229,100,186,136
50,230,100,186,136
51,229,100,186,136
52,229,100,186,136
53,229,100,186,136
54,228,101,186,136
55,228,100,186,136
56,229,100,186,137
57,228,100,186,137
58,229,100,186,137
59,228,99,186,137
60,227,100,186,137
61,227,100,186,137
62,227,99,187,137
63,227,99,187,137
64,226,98,187,137
65,226,99,187,137
66,225,99,187,137
67,226,99,187,137
68,225,99,187,136
69,226,99,187,136
70,226,99,187,136
71,226,99,187,136
72,226,99,187,136
73,226,98,187,136
74,227,99,187,136
75,227,99,187,136
76,227,99,187,136
77,227,99,187,136
78,228,99,187,136
79,228,100,187,136
80,228,100,186,135
81,228,100,186,135
82,228,100,186,135
83,229,100,186,135
84,229,100,186,135
85,230,100,186,135
86,229,100,186,135
87,228,100,186,135
88,230,100,186,135
89,230,100,186,135
90,230,100,186,135
91,230,100,186,134
92,228,100,186,134
93,228,100,186,134
94,228,100,186,134
95,228,100,186,134
96,228,100,186,134
97,226,100,187,132
98,226,100,187,132
99,225,100,187,132
100,225,100,187,132
101,224,100,187,133
102,225,100,187,133
103,225,101,187,133
104,224,100,187,133
105,225,101,187,133
106,225,100,187,133
107,225,101,187,133
108,225,101,187,134
109,225,101,187,134
110,226,100,187,134
111,227,100,186,134
112,228,100,186,134
113,229,100,186,134
114,229,99,186,135
115,229,99,186,135
116,229,100,186,135
117,231,100,186,135
118,230,100,186,135
119,230,100,186,135
120,232,100,186,135
121,231,102,186,136
122,231,104,186,136
123,232,104,186,136
124,230,104,186,136
125,223,108,187,135
126,230,104,187,135
127,235,99,187,135
128,241,96,187,135
129,241,97,187,135
130,240,100,187,135
131,236,103,187,136
132,235,96,187,136
133,234,90,187,136
134,233,84,187,136
135,233,96,187,136
136,224,117,189,138
137,219,102,188,136
138,226,97,188,136
139,234,94,188,136
140,236,108,188,136
141,227,111,188,137
142,226,112,188,137
143,231,111,188,137
144,233,112,188,137
145,230,110,188,137
146,227,100,188,137
147,232,97,189,136
148,238,95,189,136
149,240,100,189,136
150,240,104,189,136
151,242,104,188,136
152,243,106,188,136
153,244,108,188,136
154,245,109,188,136
155,253,110,186,136
156,249,112,188,136
157,228,101,188,136
158,224,104,188,138
159,228,106,188,136
160,229,101,187,136
161,226,102,187,136
162,227,101,187,136
163,225,104,187,136
164,225,103,188,136
165,224,106,188,136
166,226,103,187,136
167,228,102,186,136
168,227,104,186,136
169,229,103,186,137
170,226,105,186,137
171,228,104,186,137
172,232,108,186,137
173,231,103,186,137
174,230,108,186,136
175,231,102,187,136
176,237,103,187,136
177,241,108,186,136
178,243,112,186,136
179,244,117,186,136
180,231,106,186,136
181,223,103,187,136
182,216,108,187,135
183,225,111,187,135
184,227,111,187,135
185,229,114,187,135
186,229,120,187,135
187,229,111,187,135
188,227,110,187,135
189,225,103,187,135
190,229,110,187,134
191,226,103,187,134
192,227,105,187,134
193,228,104,187,134
194,226,106,188,136
195,224,102,188,136
196,224,103,187,135
197,225,102,187,135
198,227,99,187,135
199,227,104,187,135
200,225,105,187,135
201,225,102,187,135
202,224,102,187,135
203,225,105,187,135
204,224,106,187,135
205,225,103,187,135
206,223,107,187,135
207,225,105,187,135
208,223,101,187,135
209,211,106,187,135
210,224,90,187,135
211,230,97,187,135
212,232,101,187,135
213,230,101,187,135
214,229,101,187,135
215,228,101,187,135
216,228,102,188,135
217,229,102,188,135
218,229,102,188,135
219,231,101,188,135
220,231,101,188,135
221,228,102,188,135
222,229,102,188,135
223,228,102,188,135
224,228,102,188,135
225,228,102,188,135
226,229,103,188,135
227,228,102,188,135
228,228,102,188,135
229,227,101,188,135
230,226,101,188,135
231,225,102,188,135
232,225,101,188,135
233,226,100,188,135
234,226,101,188,135
235,225,99,188,135
236,226,101,188,135
237,226,99,188,135
238,225,99,188,135
239,225,98,188,135
240,226,99,188,135
241,226,99,188,135
242,226,99,188,135
243,226,99,188,135
244,227,99,188,135
245,227,99,188,135
246,226,99,188,135
247,227,98,188,135
248,226,99,188,135
249,226,99,188,135
250,226,98,188,135
251,226,100,188,135
252,226,100,188,135
253,226,102,188,135
254,226,99,188,135
255,226,100,188,135
256,226,100,188,135
257,226,100,188,135
258,226,100,188,135
259,226,102,188,135
260,228,101,188,135
261,227,102,188,135
262,228,103,188,135
263,228,102,188,135
264,227,102,188,135
265,228,103,188,135
